State,Value
-X-OXO-X-,2.0
-X-OXO-XO,2.0
-X-OXOOX-,3.0
-X-OXOX--,0.0
-X-OXOX-O,0.0
-X-OXOXO-,0.0
-X-OXOXOX,0.0
-X-OXX-O-,0.0
-X-OXXO--,0.0
-X-OXXO-O,1.0
-X-OXXOO-,0.0
-X-OXXOOX,-1.0
-X-OXXOXO,3.0
-X-X----O,0.0
-X-X---O-,0.0
-X-X---OO,0.0
-X-X--O--,0.0
-X-X--O-O,0.0
-X-X--OO-,0.0
-X-X--OOX,0.0
-X-X--OXO,0.0
-X-X-O---,0.0
-X-X-O--O,0.0
-X-X-O-O-,0.0
-X-X-O-OX,0.0
-X-X-O-XO,0.0
-X-X-OO--,0.0
-X-X-OO-X,0.0
-X-X-OOOX,0.0
-X-X-OOXO,0.0
-X-X-OX-O,-2.0
-X-X-OXO-,0.0
-X-X-OXOO,0.0
-X-XO----,0.0
-X-XO---O,0.0
-X-XO--O-,0.0
-X-XO--OX,0.0
-X-XO-O--,0.0
-X-XO-O-X,0.0
-X-XO-OOX,0.0
-X-XO-OXO,0.0
-X-XO-X-O,0.0
-X-XO-XOO,0.0
-X-XOO---,0.0
-X-XOO--X,0.0
-X-XOO-OX,0.0
-X-XOOX-O,0.0
-X-XOOXO-,3.0
-X-XOOXOX,0.0
-X-XOOXXO,0.0
-X-XOX--O,-1.0
-X-XOXXOO,-2.0
-X-XX--OO,-1.0
-X-XX-OOO,-4.0
-X-XXO--O,0.0
-X-XXO-O-,0.0
-X-XXO-OO,0.0
-X-XXOOOX,0.0
-X-XXOOXO,-1.0
-X-XXOXOO,0.0
-X-XXXOOO,-3.0
-XO------,0.0
-XO-----X,0.0
-XO----OX,0.0
-XO----X-,0.0
-XO----XO,0.0
-XO---OX-,0.0
-XO---X--,0.0
-XO---X-O,0.0
-XO---XO-,0.0
-XO---XOX,0.0
-XO---XXO,-1.0
-XO--O--X,0.0
-XO--O-X-,0.0
-XO--O-XX,0.0
-XO--OX--,0.0
-XO--OXX-,-2.0
-XO--OXXO,-2.0
-XO--X---,0.0
-XO--X--O,0.0
-XO--X-XO,0.0
-XO--XO-X,-1.0
-XO--XXO-,0.0
-XO-O---X,0.0
-XO-O--X-,0.0
-XO-O--XX,0.0
-XO-O-OXX,-1.0
-XO-O-X--,0.0
-XO-O-XOX,0.0
-XO-O-XX-,0.0
-XO-OO-XX,0.0
-XO-OX---,0.0
-XO-OX--X,-1.0
-XO-OX-X-,0.0
-XO-OXO-X,-3.0
-XO-OXOXX,-3.0
-XO-OXX--,0.0
-XO-OXXO-,0.0
-XO-X----,0.0
-XO-X---O,0.0
-XO-X--XO,0.0
-XO-X-O-X,0.0
-XO-X-OOX,0.0
-XO-X-OX-,1.0
-XO-X-OXO,1.0
-XO-X-XO-,0.0
-XO-XO-XO,-4.0
-XO-XOOX-,2.0
-XO-XOXO-,0.0
-XO-XOXOX,0.0
-XO-XOXXO,-3.0
-XO-XX--O,0.0
-XO-XXO--,0.0
-XO-XXOXO,3.0
-XOO----X,0.0
-XOO---X-,0.0
-XOO--X--,0.0
-XOO--XOX,0.0
-XOO--XX-,0.0
-XOO--XXO,0.0
-XOO-OX-X,0.0
-XOO-X---,0.0
-XOO-X--X,0.0
-XOO-X-OX,0.0
-XOO-X-XO,3.0
-XOO-XX--,0.0
-XOO-XX-O,0.0
-XOO-XXOX,0.0
-XOO-XXXO,0.0
-XOOO-XX-,2.0
-XOOO-XXX,3.0
-XOOOOXXX,2.0
-XOOOX-X-,0.0
-XOOOX-XX,0.0
-XOOOXOXX,-2.0
-XOOOXX--,0.0
-XOOOXXOX,0.0
-XOOOXXX-,0.0
-XOOOXXXO,0.0
-XOOX---X,0.0
-XOOX--OX,1.0
-XOOX--X-,1.0
-XOOX--XO,4.0
-XOOX-O-X,0.0
-XOOX-OX-,2.0
-XOOX-X--,0.0
-XOOX-X-O,0.0
-XOOX-XOX,0.0
-XOOX-XXO,-1.0
-XOOXO-X-,2.0
